"","year","hor_spwn","nor_spwn","hor_se","nor_se"
"1",2004,1978.32747748489,1355.17593234142,550.979720079484,382.150877530816
"2",2005,1505.7359789756,1334.81194454021,248.000625979719,223.5221510503
"3",2006,658.760232938878,722.229419345877,137.555891617852,151.332126870275
"4",2007,1048.34758506861,223.042588839218,252.858033733037,62.4694050202165
"5",2008,844.142224564201,425.151255147235,135.111633379141,70.0413704009565
"6",2009,1422.25560794494,539.276237817473,210.838385866678,84.6233328499176
"7",2010,1905.25144245337,1338.06277757682,733.820798606301,516.915996372023
"8",2011,1091.70159259594,1076.42608861416,92.3742283593842,96.8006244770666
"9",2012,899.481691589931,997.10902378996,98.1986068213543,87.4122641461298
"10",2013,1222.33821917808,860.7,215.42628352522,103.697180638372
"11",2014,479.925118298892,849.82384931331,55.3139238939609,71.0892874954309
"12",2015,661.274289109583,875.224693149987,85.9875448308559,67.2871318820303
"13",2016,395.932480620155,718.168914728682,61.8125343426418,78.6325914408673
"14",2017,260.31431372549,277.099803921569,49.7132984934724,43.6296546743761
"15",2018,148.005637065637,317.37138996139,24.5548941885424,35.979001295255
"16",2019,185.81,228.52,34.0547381745179,37.9181915598596
"17",2020,142.797083333333,529.438108108108,33.4607311393789,62.8033216221052
"18",2021,313.503704793945,728.65035744323,52.3802326530942,80.6435725930955
